"PROVNAME","SHUNX","联通在信","IPTV业务","BREW","行业信息服务","流媒体","固网IVR","IVR业务","内容点播","行业短信","互联网电视业务","SP彩信MMS业务","固网短信","沃联系","电话会议","电脑保姆","固网悦铃","粗定位业务","通话秘书","G网WAP业务","共享能力平台","网络安全","联通丽音","短信卡业务","USSD","炫铃","音乐业务","小秘书","通信管家","沃阅读","精定位业务","IVVR业务","多媒体炫铃","黑莓业务","EMP","手机邮箱","联通丽音10155","媒体类社交应用","视频监控","行业WAP","上网卡","平安家居","G网JAVA业务","GIS","行业彩信","点对点彩信业务","WAPPUSH"
"山西","1","443044","-7770287","0","9721","0","761499","62877","0","93259","0","0","0","0","0","0","0","0","121390","0","118428","0","0","0","8330","0","0","2418","0","0","5368","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"西藏","2","194","0","0","0","0","0","8574","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","522","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"陕西","3","375489","0","0","0","0","1546","14594","0","575","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"内蒙古","4","121401","0","0","179793","0","28143","80304","0","0","0","50716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"宁夏","5","71481","0","0","0","1096","0","0","0","0","359910","49401","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"甘肃","6","515493","0","0","0","0","0","137164","0","0","0","4622","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"安徽","7","594204","0","0","0","7914","0","34135","0","0","2815","68394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"福建","8","449345","0","0","52","0","0","227537","47831","0","0","4309","0","0","0","0","0","22","0","0","0","0","0","0","0","7002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"海南","9","59023","0","0","0","41433","0","6765","622805","0","0","21492","0","0","0","0","0","0","0","0","0","0","2392","0","0","0","0","0","0","0","10","0","0","0","300","0","0","0","0","0","0","0","0","0","0","0","0"
"青海","10","241159","476464","0","0","0","0","0","0","0","0","121459","0","0","0","0","0","0","0","0","0","0","0","0","0","822","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"吉林","11","156073","0","0","60867","0","0","683467","0","0","0","1190","0","0","0","0","0","0","0","0","0","0","11694","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"重庆","12","383496","0","0","0","0","0","300523","0","0","0","307756","0","0","0","0","0","0","0","4544","0","0","0","0","0","36804","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新疆","13","685067","9849","0","0","404409","0","28453","0","0","4462","44283","0","0","0","0","0","0","0","0","0","0","0","0","0","111034","0","0","5882","4","10388","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
